Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
UXR-7207,3638347803101,René Julián Cabezas,2018-03-10,8763347604555,Juan Carlos Vilalta Goicoechea
UXR-7207,8763347604555,Juan Carlos Vilalta Goicoechea,2017-05-28,1237666735597,Angelita Arias Carballo
NUB-6096,6741666963025,Álvaro Pascual Oller Ramón,2023-11-08,4897981101431,Fabián Camacho Cañas
NUB-6096,4897981101431,Fabián Camacho Cañas,2023-05-24,8616358032455,Loreto Guzmán Solsona
YPK-9145,5352311780173,Benito Barceló Nadal,2018-08-28,8545136862951,Lola Castell Román
YPK-9145,8545136862951,Lola Castell Román,2022-12-31,3472749549372,Edelmiro Flores Cabezas
BXH-9368,7954105022435,Adelia Luna-Caballero,2016-12-29,6125068375327,Anastasio Solsona Revilla
BXH-9368,6125068375327,Anastasio Solsona Revilla,2019-03-07,6348601078606,Diego del Miralles
BXH-9368,6348601078606,Diego del Miralles,2024-10-15,9921977135095,Azeneth Tenorio Monreal
EIX-4665,4530365239674,Herberto Duque-Andrés,2024-06-23,5478109977365,Héctor Ferrero Contreras
EIX-4665,5478109977365,Héctor Ferrero Contreras,2017-07-17,4567968902989,Graciela Morillo Nogueira
EVN-0347,2517080643008,Malena Amo Aznar,2017-09-26,1801118742121,América Agudo Poza
JXS-2434,8917623127917,Aureliano Perelló Simó,2018-04-13,8454993585887,Balduino Guijarro-Gallart
JXS-2434,8454993585887,Balduino Guijarro-Gallart,2019-06-19,8348547014325,Heliodoro Sastre Pellicer
SLM-2968,7107261510852,Blas Bernal Gaya,2016-08-24,7356615885203,María José del Pinto
SLM-2968,7356615885203,María José del Pinto,2015-10-15,1550208750412,Baldomero Sedano Ribas
MDC-2361,5620031712482,Mamen Somoza Posada,2019-03-16,9333763000217,Donato de Baró
MDC-2361,9333763000217,Donato de Baró,2019-11-02,5701338364882,Damián Sala Machado
MDC-2361,5701338364882,Damián Sala Machado,2018-01-20,2473948244352,Wálter Beltrán Villena
WER-3195,1559616101867,Diego Rosselló Rios,2022-11-22,4781412454387,Josep José Mari Navas Dominguez
FWJ-2123,8025182554233,Abilio Galvez Yáñez,2015-06-29,4850950502063,Alfonso de Saura
FWJ-2123,4850950502063,Alfonso de Saura,2022-08-01,6095349420657,Héctor Cervera-Manzanares
FWJ-2123,6095349420657,Héctor Cervera-Manzanares,2016-10-07,9532442420815,Dani Barba Barragán
COX-9106,8765609163383,Emilia Iniesta Puente,2015-04-28,6262156254517,Jose Carlos Corral Barrios
COX-9106,6262156254517,Jose Carlos Corral Barrios,2015-10-24,3047086767339,Nilo Barrios
COX-9106,3047086767339,Nilo Barrios,2017-02-23,2953352839566,Matías Bilbao
PVB-4573,8235268443407,Ciriaco Cózar Montenegro,2023-10-22,3048360672103,Alba Andrade Rivas
PVB-4573,3048360672103,Alba Andrade Rivas,2019-11-13,5602503264092,Juanito Atienza
APC-0005,1707240899271,Lázaro de Bernad,2022-12-16,1207583615892,Pedro del Pina
APC-0005,1207583615892,Pedro del Pina,2024-12-26,7488729614245,Óscar Hervás Rozas
LHN-1648,4222788031993,Reyes Tormo-Olivera,2017-01-20,1143999238938,Prudencio Laguna Carrasco
LHN-1648,1143999238938,Prudencio Laguna Carrasco,2024-02-19,7740839478925,Borja Zabala
OTS-3630,3712033881241,Luciana Benítez Fortuny,2017-03-27,9590403170867,Francisco Jose Río Bautista
OTS-3630,9590403170867,Francisco Jose Río Bautista,2023-06-01,3818871448447,Adán Hernando Elías
BXV-7241,5378116676298,Roberto Castillo Cordero,2015-11-24,8337299060886,Ruy Ruiz Dominguez
BXV-7241,8337299060886,Ruy Ruiz Dominguez,2018-02-18,4298445933203,Alicia Ribas Leal
BOI-0354,4941174360200,Celia Pino Estévez,2019-05-13,9036565468446,Gala Ángeles Llorente Izquierdo
BOI-0354,9036565468446,Gala Ángeles Llorente Izquierdo,2021-10-04,9057368613292,Fátima Mayoral Torre
ZTI-3567,5715218903769,Clotilde del Ocaña,2022-10-17,8800311038629,Joaquina Peral Cornejo
ZTI-3567,8800311038629,Joaquina Peral Cornejo,2019-07-01,6593983957332,Leocadia Arroyo Barrena
ZTI-3567,6593983957332,Leocadia Arroyo Barrena,2020-07-01,5140125518259,Margarita Gaya Moya
QVO-5498,8146780499917,Moisés Soria Cabeza,2024-12-05,3097471495162,Paula Torralba Sola
QVO-5498,3097471495162,Paula Torralba Sola,2016-07-26,6349772090435,Maite Alexandra Llopis Tomas
QVO-5498,6349772090435,Maite Alexandra Llopis Tomas,2022-11-01,3430314090502,Clara Benitez-Beltran
ZDB-0150,6386233273940,Loida María Pilar Zurita Parra,2015-12-26,6667174466568,Áurea Rosell Alsina
ZDB-0150,6667174466568,Áurea Rosell Alsina,2021-09-13,2896692296285,Rosa María Casals Tomé
ZDB-0150,2896692296285,Rosa María Casals Tomé,2018-02-17,8613991941013,Cayetano Carballo Acedo
TNT-7281,5025728604314,Morena Pol Vilalta,2024-10-17,9324364430766,Eusebia Díaz Gascón
QHA-5267,9807865177423,Consuelo Rico Ferrer,2021-02-16,3601528590777,Jose Manuel Diéguez Cadenas
QHA-5267,3601528590777,Jose Manuel Diéguez Cadenas,2022-02-04,2999365627721,Áurea Cabezas-Ureña
TDL-2291,2037022313497,Fabián del Bolaños,2022-08-04,3845026431335,Emilio Montaña Castell
TDL-2291,3845026431335,Emilio Montaña Castell,2024-07-04,6162310756051,Victor Romeu Ferreras
TDL-2291,6162310756051,Victor Romeu Ferreras,2024-05-17,4863782394182,Urbano Lladó-Marquez
SJI-5884,8664594174680,Martín Maximino Ugarte Tejera,2018-10-24,9958045166509,Lara Perez Merino
MSO-7066,4008816514647,Gervasio Borja Sanmartín Chacón,2019-04-18,6134282444553,Teodora del Jáuregui
MSO-7066,6134282444553,Teodora del Jáuregui,2018-08-31,2427288859120,Celia del Talavera
MSO-7066,2427288859120,Celia del Talavera,2016-05-27,4156805327020,Bibiana Chaparro-Ponce
KQT-2128,3143703688639,Valentín Ángel Donoso,2017-11-29,3735757596999,Gema Escrivá Nogueira
KQT-2128,3735757596999,Gema Escrivá Nogueira,2024-09-12,1423082606453,Delfina Rocha Gallego
KQT-2128,1423082606453,Delfina Rocha Gallego,2024-02-26,7925771513562,Donato Castell Roldan
IND-1246,4622310062029,Fabio Ríos Fajardo,2020-09-23,2856483142335,Mariana Escalona
IND-1246,2856483142335,Mariana Escalona,2016-04-30,6539198103864,Diana del Paredes
NWF-7789,4441423120371,Adelaida Galan Cantero,2019-12-08,7445873568230,Jesusa Oliva Leiva
NWF-7789,7445873568230,Jesusa Oliva Leiva,2024-09-13,1178179809831,Gracia Cisneros Barrio
JUV-3043,4036408998663,Reynaldo Salom-Tomé,2024-10-28,5339217434287,Otilia Barbero Pinilla
ZUW-3391,1975690558327,Camila Canales Alberdi,2018-08-22,7002052863944,Alex Francisco Aragonés
ZUW-3391,7002052863944,Alex Francisco Aragonés,2016-06-04,5775508225168,Dalila Cárdenas Noguera
DRP-2836,1645215942912,Loreto de Solera,2021-03-20,2301817718015,Aureliano Pardo Morell
