1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,4
DDD-9212,5251434637203,Iudqflvfr Mrvh HvfulyÊ Fdqdov,Krqgd,Flylf,2023,3,3
DDE-8280,2891663759342,Ehqlwr Kdurogr VÊhqc Urgd,Krqgd,Ilw,2012,4,3
DDF-3765,1310897378354,Hpholqd Dpdbd Rophgr,Wrbrwd,UDY4,2000,0,0
DDH-3810,5493158000355,Vrfruur Whuxho Pdwd,Krqgd,Flylf,2006,5,0
DDI-2375,2268020329085,Uhbqd Ooxfk Jxwlhuuhc,Kbxqgdl,Hodqwud,2016,3,1
DDI-9951,3527303769182,HvslulglÜq SÊhc-FdueÜ,Nld,Vsruwdjh,2018,0,1
DDJ-4057,8747392890926,Ihghulfr gh EhuwuÊq,Nld,Vruhqwr,2007,5,1
DDJ-9081,1536706313039,Mdflqwd Doehugl JrqcÊohc,Kbxqgdl,Vdqwd Ih,2013,5,2
DDL-9757,5940235238455,Pdqxholwd Eduuhud Fdqdov,Wrbrwd,Kloxa,1996,4,2
DDM-3666,9156478306291,Vdqgdolr Oxfldqr Jxlwduw Cdprudqr,Kbxqgdl,Wxfvrq,2021,0,2
DDN-8964,2272186745623,Vdpxho Sdodx Dedvfdo,Nld,Vruhqwr,2016,2,1
DDP-6805,1179900391142,Deho Frvwd Yhugã,Nld,Vruhqwr,2023,2,2
DDQ-8787,7827954469038,Khfwru Ylfwru Pdqxho Duqdlc Dbdod,Kbxqgdl,Dffhqw,1996,4,1
DDU-1400,3536450266159,Lvlgrud Doehugl Ooruhqv,Pdcgd,FA-5,2002,4,3
DDU-9945,3209572624867,Qlfdqru VÊhc-VdoyÉ,Pdcgd,6,2015,3,3
DDX-8024,6582180104369,Fduphod Fdplod Cdsdwd Ixvwhu,Krqgd,Dffrug,2009,4,0
DDZ-9089,1173903485588,Gdql Jxhuud Ydohqcxhod,Krqgd,FU-Y,2004,2,2
DDC-1033,2632405579257,Qdwdold Dudqgd-Doehugl,Nld,Vruhqwr,1996,1,3
DDC-5982,6425052012406,Frqvxhod gh Shoolfhu,Pdcgd,EW-50,2000,2,1
DED-3638,7181235267704,Hvwhedq Sl Ydoov,Krqgd,Flylf,2009,1,3
DEE-1592,4365504084087,Iudqflvfd gh ªoydur,Krqgd,Flylf,2018,5,3
DEH-4912,5214221157978,Jxlrpdu Fhuur Pdqcdqduhv,Wrbrwd,Bdulv,2001,3,2
DEI-0114,4278439245613,Vrvlpr SÒuhc Pdutxhc,Kbxqgdl,Wxfvrq,2023,0,3
DEI-6004,1440400044735,Dlqrd PduwÖqhc-Shgudcd,Nld,Vsruwdjh,2004,0,0
DEL-8956,1938061942315,EhjrÚd Ehfhuud Txlqwdqd,Kbxqgdl,Dffhqw,2014,1,1
DEM-1033,2030673368942,Hvwhedq Uhlj Doldjd,Pdcgd,6,2002,3,1
DEN-7811,5371606679436,HorÖvd Ihuuhu-Fdvhv,Kbxqgdl,Hodqwud,2000,5,0
DEO-7035,7580670965005,Grplqjd Sdcrv-FdsduuÜv,Wrbrwd,Bdulv,1999,2,2
DER-7736,5752392427154,Hppd MxolÊq,Wrbrwd,UDY4,1995,4,1
DES-4095,4254101006433,Dpru Duqdlc Sxmro,Wrbrwd,Bdulv,1997,0,0
DET-5230,5930458692912,Urjholr Pxufld Wruulmrv,Wrbrwd,Kloxa,1996,1,3
DEW-4100,3104145046300,Edowdvdu Pxohw-Phqghc,Kbxqgdl,Hodqwud,2022,4,2
DEA-5856,2155585722438,Fdulgdg Dpdulolv DudjrqÒv Dfrvwd,Kbxqgdl,Dffhqw,1997,0,2
DEA-7288,3449057793353,Pdujdulwd Ydohur Urvhoo,Nld,Slfdqwr,2016,0,2
DEA-9539,9857853007615,ªqjhod Pduwlqhc Vlhuud,Nld,Vruhqwr,2020,1,3
DEC-2613,9267593836233,Mrylwd Idmdugr-Vdohv,Wrbrwd,Kloxa,2009,1,1
DFG-7292,8781681993523,Pduf Judqdgrv Qherw,Wrbrwd,Frurood,2020,4,3
DFJ-8190,6361848622421,Urvhqgr Vdod Pdcd,Krqgd,Ilw,2002,5,3
DFJ-9597,3343816482534,Iodyld FhugÊ Edufr,Pdcgd,6,2009,2,0
DFM-4130,6630260282544,Uhjlqd Srqfh Pdfkdgr,Wrbrwd,Frurood,2018,3,0
DFN-8037,1075827578644,Eodv Hvsducd IhuuÊqghc,Wrbrwd,Bdulv,2020,5,0
DFO-5561,5992066764425,DjxvwÖq Vxuhgd,Krqgd,FU-Y,1999,1,3
DFQ-8137,8794290949393,Bdjr Dudpexux FÊfhuhv,Nld,Slfdqwr,1998,1,3
DFU-4163,6721539277677,Qlgld VhjxÖ Uhgrqgr,Kbxqgdl,Vdqwd Ih,2007,3,2
DFW-3047,4432729152791,Dqd VriÖd Ropr-JdvfÜq,Krqgd,Flylf,2009,5,3
DFB-9444,7705128622983,Dcdkdu gho Jxlwduw,Krqgd,FU-Y,2023,3,1
DGD-5357,2227933127275,Doflghv Jdoldqr-MrugÊq,Nld,Ulr,1996,4,0
DGE-1824,7530412300502,Oxfldqr Fdvwur Eodqfd,Krqgd,Flylf,1999,2,1
DGF-8351,6503536297556,Rwlold Judx Fdghqdv,Nld,Ulr,2010,2,1
DGG-8788,6951178857104,Iholvd Ooruhw YlÚd,Kbxqgdl,Wxfvrq,2001,5,2
DGH-7791,9167224942100,Ydohur gho Pljxho,Nld,Ulr,2016,2,1
DGI-7631,9752841163455,Dgroir Fdvdgr Ulxv,Kbxqgdl,Dffhqw,2000,2,3
DGM-0114,9740610281996,Hxvheld gho Hvfredu,Wrbrwd,Kloxa,2022,3,3
DGM-7314,9211809284771,Whrgrvlr Odjr Dqgudgh,Kbxqgdl,Vdqwd Ih,2019,5,0
DGO-8393,7587290312872,Rolpsld Whoor-PdvfduÜ,Wrbrwd,Bdulv,2001,0,0
DGW-8475,9298864128252,Iholfldqr gh Urvd,Pdcgd,3,2010,3,1
DGZ-8533,5701062574398,Fduplqd Bxvwh Exvwdpdqwh,Nld,Slfdqwr,2014,4,2
DGZ-9420,8066498633250,Pdlwh Gxtxh Prqwhqhjur,Nld,Vruhqwr,2020,4,3
DGA-8576,3393097164054,Mhqdur Urfkd Vhuud,Wrbrwd,Bdulv,2003,3,3
DGC-8811,1883295427488,Qduflvr Leduud Ylood,Nld,Vsruwdjh,2024,0,3
DHH-3105,6258118726450,Ohluh Sdorpduhv-DofÊcdu,Wrbrwd,Bdulv,2024,4,2
DHK-0898,7747559021922,Ylfhqwh gho UrvhooÜ,Krqgd,Flylf,2017,0,2
DHM-6325,2768066733628,Oljld Pdqcdqduhv Doehugl,Pdcgd,3,2009,4,3
DHN-1249,9282206809775,Lvlgur gh Sdodflrv,Nld,Slfdqwr,2013,1,3
DHN-4782,9809860842205,Whrgrvlr UlqfÜq Ylodsodqd,Krqgd,Ilw,2005,5,2
DHN-8711,1772256582692,Sdvfxdo gh Fxdgudgr,Krqgd,Ilw,2011,5,0
DHP-7595,4760453118072,ªjdwd Fuhvsr Oxtxh,Nld,Slfdqwr,2001,5,3
DHR-4795,3188781690685,Ydohuld Fkhfd Irofk,Kbxqgdl,Hodqwud,2009,1,0
DHS-4574,4170709663734,MrvÒ DofdoÊ Ydoghuudpd,Pdcgd,6,2010,5,3
DHU-5252,2415039021172,Qlfrghpr Vhjduud Urphx,Nld,Slfdqwr,2022,5,1
DHY-6162,9020016200999,Iholfldqd Doed Iljxhurod,Pdcgd,EW-50,2020,2,1
DHY-7642,3989168134542,SÊqilor Horucd-Dpr,Pdcgd,FA-5,1995,1,3
DIG-3103,9114533116494,Frqvxhor VdqpduwÖq Uhjxhud,Pdcgd,3,2008,4,2
DIG-5218,4468605311565,Mrvh Pljxho Pdor EÊufhqd,Nld,Vruhqwr,2017,0,3
DIH-1946,5700728546181,KÒfwru gh Srufho,Kbxqgdl,Hodqwud,2021,2,0
DIL-0142,4091535364131,Fdqghoduld gh QlfroÊv,Krqgd,Flylf,2001,2,3
DIL-8728,6428442255916,Hpshudwulc gh Cdprudqr,Krqgd,Ilw,2015,5,2
DIN-1617,4175023598392,Prqwvhuudw EdbÜq ShuhooÜ,Nld,Vruhqwr,2007,5,3
DIT-3566,7530223509484,GduÖr Eduulrv Pxuloor,Nld,Vruhqwr,2009,5,1
DIV-5699,1357433855842,Lqpdfxodgd Ixvwhu Eduurv,Pdcgd,6,2023,5,2
DIY-1822,7504038271472,Edvlolr YlcfdÖqr DpruÜv,Krqgd,Dffrug,2007,0,0
DIB-3387,2391293173460,Urvdolqd Vdofhgr Jdolqgr,Pdcgd,EW-50,2015,4,3
DJH-5254,5929713594654,Bdlcd Dolfld Cdedod Udbd,Kbxqgdl,Wxfvrq,2020,2,2
DJK-5907,9140713204778,Mhvvlfd MlpÒqhc-JdoyÊq,Nld,Vsruwdjh,2005,1,0
DJM-1944,6065201615502,Wulqlgdg EhowuÊq Fdehcdv,Pdcgd,FA-5,2005,4,2
DJQ-5637,4876365153081,Rqriuh Ulfr Eulrqhv,Pdcgd,FA-5,2015,2,1
DJR-6334,6699047087272,Mlphqd Krbrv-Urpdq,Pdcgd,6,2014,0,2
DJS-2984,3804485867632,Kxpehuwr Urfkd Ghojdgr,Krqgd,FU-Y,2024,1,1
DJU-5203,5909876435500,VdorpÒ Qdydv,Pdcgd,FA-5,2006,4,0
DJX-5561,7598504210974,SdfÖilfd Grqdluh Duhoodqr,Nld,Vsruwdjh,1999,2,3
DJY-3471,2870075442135,Pdulvwhod Fxhwr Uxelr,Wrbrwd,Kloxa,2008,2,0
DJB-7273,9733951840496,Pdxulflr Ehowudq ShÚdv,Nld,Vruhqwr,2017,1,2
DKG-6331,5010450856470,Dqjholwd Yduhod-Pãjlfd,Nld,Vsruwdjh,2005,5,3
DKH-3863,1166694493827,Mrujh Fruqhmr Jdoor,Kbxqgdl,Dffhqw,2006,1,0
DKH-6749,9585040713118,GÒerud Fdvwhoov Txhuro,Kbxqgdl,Wxfvrq,2000,4,0
DKM-6636,4569523287522,Urjholr Gxudq-Vdvwuh,Krqgd,Ilw,2021,1,3
DKM-6781,8329037464951,Hxwlplr Pdqfher Ulydv,Krqgd,FU-Y,1998,1,1
DKO-4171,5834321432435,PduÖd Exvtxhwv Qhydgr,Pdcgd,EW-50,2023,4,2
DKP-9757,4897970240661,Dxuhold Duqdx Wruudoed,Wrbrwd,Bdulv,2002,5,3
DKQ-2699,9687619550782,Shodbr gho MrugÊq,Kbxqgdl,Hodqwud,1995,5,0
DKQ-2991,7745903538783,Mxglwk Orvdgd,Wrbrwd,Kloxa,2004,5,1
DKR-3306,6997120324999,Shuod Holjld Rolyhu Duuledv,Kbxqgdl,Hodqwud,2008,3,3
DKT-1286,7727346140211,HvslulglÜq Urshur Ihuuhu,Wrbrwd,Bdulv,1997,5,2
DKV-2300,2188173869803,Oxsh EruuÊv Pduwlq,Wrbrwd,UDY4,1999,3,2
DKZ-2873,2766895685135,Gdiqh Dpdbd,Krqgd,Ilw,2012,1,2
DKB-9379,2958659612325,HqfduqdflÜq PduÖd Ihuqdqgd Wdodyhud YdofÊufho,Kbxqgdl,Dffhqw,1996,1,3
DKC-6655,7388814808888,Shslwr Sudw Pdufr,Krqgd,Flylf,2006,4,3
DLI-5023,7916940147263,Hpljglr Sdc Oxfhqd,Nld,Vruhqwr,2016,5,2
DLJ-4887,5056928689656,Dcdkdud PhoÒqghc SlÚro,Krqgd,Dffrug,2014,0,1
DLK-9926,3440096311300,Hqfduqd Doehurod-Fdehcdv,Wrbrwd,Frurood,2006,1,3
DLL-7169,9269197461364,Dghodlgd Erdgd Vdohv,Wrbrwd,Kloxa,2000,1,0
DLU-7795,1530616700986,Hppd gh IdofÜ,Nld,Vruhqwr,2001,2,2
DLX-2916,4430701576756,Frqvxhod Djxdgr,Krqgd,FU-Y,1999,1,2
DMD-0210,9839806277922,Jlo Urpdq Dohpdqb,Wrbrwd,Bdulv,2011,0,0
DMD-6934,2627835216103,Whrgrvlr Mxdq Iudqflvfr Fdplqr Vhjryld,Kbxqgdl,Vdqwd Ih,2010,3,1
DMH-8467,7910614571036,Hxwurslr Vduplhqwr PduÖq,Nld,Vruhqwr,2011,2,2
DMJ-1498,6256594768270,PduÖd Mhvãv Sdvwrud Fdpsrv PduÖq,Nld,Slfdqwr,2024,0,0
DML-2239,9235790648319,Gxofh Dpdgru Pdqcdqduhv,Krqgd,Dffrug,2013,2,1
DML-9517,2030735949541,KlsÜolwr Sruwd Pdutxhc,Wrbrwd,Kloxa,2018,3,1
DMM-7769,1507756541847,Mrvh Pdqxho DgÊq Fdedoohur Uhlj,Nld,Vruhqwr,2006,4,2
DMQ-7355,6124806768485,Dupdqgr Oxlv Eodvfr Pdulq,Wrbrwd,Bdulv,2021,2,1
DMW-0205,9601005922194,Kholrgrur Ihuuhur Duhoodqr,Krqgd,Dffrug,2001,4,0
