Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
HOR-5430,2061836843274,María Salcedo Pascual,2017-07-21,1730618112037,Isaac Cueto Antúnez
HOR-5430,1730618112037,Isaac Cueto Antúnez,2024-08-14,3017326689465,Rosa Polo
AZA-3601,5566988122986,Pelayo Miguel Maldonado,2018-04-16,1122044099794,Nerea Guerra Bauzà
AZA-3601,1122044099794,Nerea Guerra Bauzà,2022-09-02,5254886828274,Isaura Fábregas Duarte
EHB-8163,8164386637135,Ester Pardo Cabello,2021-05-29,3098440013156,Fito de Villalobos
QDL-4165,2904325040487,Marco Duarte Lara,2021-01-03,3647483155945,Virginia Guillén Cisneros
RLS-6730,8189823254257,Ignacia Capdevila,2015-12-12,8589199912091,Mario Iniesta Arregui
NPJ-1771,1774108878771,Godofredo Ochoa Chaves,2021-09-05,6228266567517,Iker Cabrero-Blazquez
UAP-0804,2571547891293,Fernando Espada Manjón,2024-10-21,8019108133033,Vito del Riba
PYH-4197,8216369055588,Petrona Moya Perea,2021-03-13,7233973342982,Olivia Zabaleta Amor
PYH-4197,7233973342982,Olivia Zabaleta Amor,2016-07-29,6809522880300,Carlos Tamayo Mora
ALH-0207,9407900900583,Bernabé Ródenas Fortuny,2021-10-06,3500853023207,Enrique Lladó
WHT-4378,7837377217219,Darío Barrera Tapia,2018-06-28,3228322504462,Chucho Villalba Pereira
WHT-4378,3228322504462,Chucho Villalba Pereira,2020-12-05,9936448036752,Lilia Dominguez Perelló
ZMC-7252,9183764465673,Jordana Casas,2018-09-26,1802489824686,Sosimo de Molina
ZMC-7252,1802489824686,Sosimo de Molina,2023-11-08,7999006466868,Paula del Beltran
ZMC-7252,7999006466868,Paula del Beltran,2015-02-27,3946811258131,Pablo Cipriano Juan Cadenas
BOM-6183,9967963472618,Buenaventura Cuesta-Avilés,2020-01-06,8831160738250,Ester Cintia Azorin Ríos
YJJ-5895,7697343434136,Nayara Prats Domínguez,2017-01-22,7912189935041,Angélica Canals Rodriguez
YJJ-5895,7912189935041,Angélica Canals Rodriguez,2017-06-14,2159272882658,Teófilo Villar Donoso
