Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
VTR-4930,2445417613391,Florinda Almeida Juárez,2024-02-29,6465460007196,María Luisa Domingo Godoy
VTR-4930,6465460007196,María Luisa Domingo Godoy,2016-04-13,9947122083292,Edgardo Franch-Doménech
VTR-4930,9947122083292,Edgardo Franch-Doménech,2023-09-29,4145231274795,Ruth Moraleda Barrios
JDA-1989,5301219006010,Joaquina Cazorla-Torrijos,2022-08-06,8712136425918,Begoña Martorell-Cózar
OUF-7455,2632620757649,Zaira Manzano-Coloma,2019-05-28,7466978917123,Rosenda Victoria Barroso Torralba
OUF-7455,7466978917123,Rosenda Victoria Barroso Torralba,2018-05-25,5661467504551,José Manuel Madrid
OUF-7455,5661467504551,José Manuel Madrid,2024-12-11,6417497781816,Joel Castillo Torralba
WVO-7820,4790896411277,Jordi Campillo Peinado,2018-05-24,6517239847305,Adela Lucas Castillo
FMD-8820,7741205406717,Azahar Jordán Robledo,2021-12-23,9021515277754,Adela Conde Abella
FMD-8820,9021515277754,Adela Conde Abella,2016-11-17,5292699548612,Miguel Ángel Bastida Arjona
FMD-8820,5292699548612,Miguel Ángel Bastida Arjona,2015-01-04,4688667930904,Narcisa Salcedo Dalmau
AQA-6476,1851974239356,Emilio del Fiol,2022-08-31,5897786427384,Teodora Ros Alvarez
AQA-6476,5897786427384,Teodora Ros Alvarez,2024-10-26,4543297510334,Marc Losa Zamora
MDT-5085,6883707507892,Edelmira Vidal Mateos,2021-08-08,8949662974586,Feliciano Santiago Martín Alfaro
MDT-5085,8949662974586,Feliciano Santiago Martín Alfaro,2023-07-13,5095114246992,Vasco Garmendia Pizarro
PXC-0896,7086398956670,Rosa María Armas-Posada,2020-07-07,6761191696078,Pili Roig Araujo
PXC-0896,6761191696078,Pili Roig Araujo,2022-08-19,7617636703003,Angelina Salinas Clavero
YDK-4053,4006032728333,Gracia Ayuso Palomino,2021-03-13,5956949712182,Jacinto Pino Soriano
YDK-4053,5956949712182,Jacinto Pino Soriano,2022-04-17,8665964693254,Vicenta Constanza Alcalá Arroyo
YDK-4053,8665964693254,Vicenta Constanza Alcalá Arroyo,2015-07-10,2512411027870,Begoña Rueda Cuéllar
YUA-4953,7467997287118,Dominga Pardo Vallés,2016-12-21,3015168006355,Araceli Belen Cervantes Borja
KZO-7958,3987393605641,Borja Cánovas Garmendia,2018-06-15,3036615818320,Ariadna Pinilla Pinto
KZO-7958,3036615818320,Ariadna Pinilla Pinto,2018-07-16,5105422207805,Julie María Del Carmen Aramburu Bárcena
KZO-7958,5105422207805,Julie María Del Carmen Aramburu Bárcena,2021-07-04,4343423885017,Ruy Cadenas Barco
ZSU-0556,3073869286965,Lorena Pardo,2016-11-17,8795863051074,Amarilis Sevillano Alonso
ZSU-0556,8795863051074,Amarilis Sevillano Alonso,2015-09-08,6889230943091,Ascensión Sans Infante
QBP-4531,9435965044807,Dimas Cañellas Caro,2024-10-11,4956595363311,Ainara Vidal-Heras
QBP-4531,4956595363311,Ainara Vidal-Heras,2021-01-30,1770187274958,Íñigo Gallart
QBP-4531,1770187274958,Íñigo Gallart,2023-10-03,3406886376430,Juana José Carmona Contreras
YNS-5464,3643034732058,Elisa Muñoz-Gracia,2023-11-01,1103879315553,Pancho Arenas
YNS-5464,1103879315553,Pancho Arenas,2020-04-21,6297841647372,Loreto Ferrández-Duque
SEI-1288,7977547874910,Blanca Gutierrez Lloret,2021-03-23,8395063274107,Jacinta del Báez
SEI-1288,8395063274107,Jacinta del Báez,2020-03-27,6324823747258,Edgardo Belda Quiroga
CBO-7321,5285304686177,Dionisio Roselló,2022-09-27,3392562743933,Feliciano Jordá
CBO-7321,3392562743933,Feliciano Jordá,2016-05-08,9196203567787,Manola Martirio Revilla Cabo
CBO-7321,9196203567787,Manola Martirio Revilla Cabo,2023-02-28,7096499277607,Joaquina Calatayud-Sevilla
HPU-9788,6977117261483,Berto Rodrigo-Bonet,2020-10-13,8760573339274,Cipriano Guzman Molins
HPU-9788,8760573339274,Cipriano Guzman Molins,2015-04-29,7772075209887,Mohamed de Planas
HPU-9788,7772075209887,Mohamed de Planas,2015-09-28,6309673782812,Ulises Moliner Agudo
RQF-2401,2283598346266,Mónica María Del Carmen Cañete Infante,2019-07-05,3788438856457,Lope Gallardo Bauzà
KRK-7328,4555587439030,Natanael del Pareja,2024-03-19,9172976824462,Lino Cisneros Fuentes
KRK-7328,9172976824462,Lino Cisneros Fuentes,2018-12-26,5572076904801,Emiliana Benavente
LVG-7849,7250492446719,Guiomar Ferrández Navas,2024-03-11,5580817530061,Irene Pi Barceló
LVG-7849,5580817530061,Irene Pi Barceló,2021-04-25,1540662555498,Alfonso Calzada Guzmán
LVG-7849,1540662555498,Alfonso Calzada Guzmán,2017-04-28,2652123763156,Mateo Leiva Corbacho
LCY-4676,4694182058929,Pastora Abril Collado,2018-07-18,5582673957895,Loreto del Escrivá
LCY-4676,5582673957895,Loreto del Escrivá,2020-01-29,8677312589230,Miguel Revilla-Alcalde
LCY-4676,8677312589230,Miguel Revilla-Alcalde,2024-01-03,1219916659684,Encarnación Pagès Busquets
QQZ-7028,1441749936070,Belén Olmedo-Ibáñez,2023-05-08,5489970813055,Oriana de Reguera
QQZ-7028,5489970813055,Oriana de Reguera,2021-01-20,2146705100618,Emiliana Redondo Gómez
WVA-4520,4778665001085,Lara Marcos Madrigal,2023-02-17,7310144699044,Mohamed Morillo Mariño
HYG-9989,5811618869610,Pío Sacristán,2018-12-04,2115468764087,Rómulo Tudela Talavera
IEJ-3918,8182372438120,Leocadio Pozo Casares,2017-07-05,7863159518148,Hugo Manrique-Nieto
IEJ-3918,7863159518148,Hugo Manrique-Nieto,2018-07-28,3689110624625,Nicanor Tejera
IEJ-3918,3689110624625,Nicanor Tejera,2015-07-20,4185568522447,Chus Pina Echeverría
KXN-8123,4797638218120,Jovita Pinto Moll,2017-09-21,9464082812225,Esteban Alba Cabañas
APW-7518,8599481159808,Rosalina Dávila Paz,2015-06-28,8901112152331,Rosendo Alegre Mayol
TEO-7100,5500800554720,Guiomar Pol Ortiz,2015-03-11,6780400609423,Amaya Cobo Serrano
UYQ-3815,7352205551240,Olimpia Jaén Viana,2018-12-29,8415150454256,Plácido López Córdoba
INQ-8773,8826582609650,Emelina Donoso-Gárate,2016-05-26,8654655789006,Diego Dan Morán Amat
JYZ-1184,1628926955479,Azahar Busquets-Paredes,2022-08-21,3643216345003,Concepción Calatayud Lledó
IWW-1121,4301389579722,Damián Leonel Vazquez Alsina,2016-07-12,6445316180948,Leonel Prats Seco
IWW-1121,6445316180948,Leonel Prats Seco,2015-09-22,7258355636308,Leonor Domingo Vives
IWW-1121,7258355636308,Leonor Domingo Vives,2021-12-30,7392002587046,Emiliana Vázquez-Jaén
WLW-1924,1635827744786,Selena Clavero Ibarra,2022-12-28,8159679275323,Emma Benavides Luz
WLW-1924,8159679275323,Emma Benavides Luz,2018-02-01,5145930525679,Adelardo Rivera Tejero
WLW-1924,5145930525679,Adelardo Rivera Tejero,2022-03-13,9045284622382,Tadeo Frutos-Rocamora
