Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
CXF-2421,4483336336751,Rafael del Barbero,2015-09-12,7696768780369,Corona de Briones
CXF-2421,7696768780369,Corona de Briones,2017-12-25,7007028318841,Ceferino Saldaña Pujadas
HLP-3993,8403837905474,Alejandra de Roda,2018-02-19,3109483440095,Cesar Codina Goñi
HLP-3993,3109483440095,Cesar Codina Goñi,2023-08-23,3027573543665,Martina Saez Vilaplana
JBJ-5380,6305347581290,Adelardo Llamas,2018-02-06,3345389484046,Encarnación Pellicer-Aparicio
JBJ-5380,3345389484046,Encarnación Pellicer-Aparicio,2023-04-20,1331811958534,Fanny Hernandez
JBJ-5380,1331811958534,Fanny Hernandez,2018-11-26,2238865962039,Fulgencio Aranda Aguilar
RCG-8223,2579890813627,Artemio Cortés Mascaró,2017-12-26,3902291862311,Noemí Iglesia Guerra
BAM-1593,7717652688837,Manuel Uribe-Velázquez,2020-12-24,5588916559671,Nazario Guillen Falcó
AYV-8615,3837544394416,Sabina Ramón Vidal,2015-02-22,4166328267456,Xavier del Calzada
AYV-8615,4166328267456,Xavier del Calzada,2024-04-01,7385614404360,María Jesús Hernandez
AYV-8615,7385614404360,María Jesús Hernandez,2015-11-06,1662612823581,Natalio Ballesteros Trillo
STK-9966,1459869344384,Asunción Heras,2015-08-08,8125104816821,Claudio Camacho Bastida
EBR-2748,8807683441121,Pelayo del Marin,2022-06-05,8340152850704,Hernán Estevez Casal
EBR-2748,8340152850704,Hernán Estevez Casal,2023-04-18,7548660921105,Virginia Alfaro Rosa
AMK-0806,5466206708877,María Belén Arnal,2019-04-07,6268628387671,Calista del Orozco
ZFG-9279,2845780735168,Febe Valbuena Jódar,2023-04-01,2524642385998,Mireia Ainoa Agullo Ballesteros
ZFG-9279,2524642385998,Mireia Ainoa Agullo Ballesteros,2019-03-08,3892479290911,Asunción Camino Arjona
YNG-4240,1381223762308,Inocencio Olmedo Ferrer,2016-11-11,8431303863532,Benjamín Bosch Caparrós
YNG-4240,8431303863532,Benjamín Bosch Caparrós,2016-10-20,7516472662211,Miriam Losa Ferrer
NFB-9354,7198990480618,Javi Cabo,2024-01-21,6465802139272,Rufina Bonet Querol
NFB-9354,6465802139272,Rufina Bonet Querol,2024-01-20,4020563543753,Calista Anaya-Alcolea
NFB-9354,4020563543753,Calista Anaya-Alcolea,2018-07-04,9443918607344,Almudena Morena Conde Hierro
