Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
VNV-0730,2738710683794,Toño Carreras Andres,2022-02-07,9939994318506,Susana Maldonado Pérez
ZBH-1259,9204284053960,Abigaíl Matas Vazquez,2018-03-28,5839489250585,Kike Ibáñez
BTD-1161,1817816030853,Bernabé Méndez Mariño,2016-07-23,4139307703293,Macarena Prats Valbuena
BTD-1161,4139307703293,Macarena Prats Valbuena,2024-07-07,5639180030905,Elisabet Rosalva Llamas Luna
BTD-1161,5639180030905,Elisabet Rosalva Llamas Luna,2016-04-13,4234388582889,Lucio Moliner-Guitart
TSD-0246,5080124249668,Leocadio Portero Pareja,2020-07-14,4701945034895,Alfredo Fiol
TSD-0246,4701945034895,Alfredo Fiol,2023-08-19,4511883276947,Baltasar Ferrándiz Mur
GVK-0478,1993107136082,Piedad Español-Alonso,2015-07-22,7842812821963,Lola Iniesta Sans
GVK-0478,7842812821963,Lola Iniesta Sans,2024-01-06,9429620663984,Nicolás del Mercader
JSE-8363,2695721791771,Ester Benitez Belmonte,2024-11-08,8749460707043,Plinio Iñiguez-Seguí
JCT-4217,3254137190834,Ciro Bonet Cobos,2018-02-01,6798477967289,Albino Guzman Leiva
JCT-4217,6798477967289,Albino Guzman Leiva,2024-08-06,9057991421170,Ascensión Larrea Carnero
PJP-6049,5056296790583,Jose Ignacio Lopez-Grau,2017-10-15,6033377934118,Adoración Sobrino Tomé
PJP-6049,6033377934118,Adoración Sobrino Tomé,2015-01-09,6902222388166,Marianela Cadenas
OOA-7443,9756553526361,Eligia Viviana Pascual Real,2019-09-18,5417383695808,Saturnina Iris Maestre Garcia
OOA-7443,5417383695808,Saturnina Iris Maestre Garcia,2019-02-07,5743372453433,Selena Asenjo Castañeda
CIJ-4783,5268935859658,Adalberto del Arjona,2021-02-13,6916621447699,León Frutos Aliaga
CIJ-4783,6916621447699,León Frutos Aliaga,2022-01-29,9081159732007,Natalio Tenorio Manso
AEV-7642,3989168134542,Pánfilo Elorza-Amo,2024-07-31,7907592850253,Américo Jose Carlos Bru Bru
AEV-7642,7907592850253,Américo Jose Carlos Bru Bru,2016-04-04,9778904164000,Julián Alvarado
AEV-7642,9778904164000,Julián Alvarado,2020-07-18,7059384070969,Hortensia Angelita Garcés Ferrero
