Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
ONI-4385,8802975773877,Manuelita Ramírez-Leon,2018-09-02,4178469949628,Trinidad Duarte-Manjón
ONI-4385,4178469949628,Trinidad Duarte-Manjón,2017-05-05,7992766728694,Juan Pablo Tenorio Belmonte
ONI-4385,7992766728694,Juan Pablo Tenorio Belmonte,2022-09-15,8514160929175,Xiomara Peralta Miguel
KQG-9721,9994351518456,Tania Rosalía Miguel Ríos,2016-05-05,4299499027640,Mayte Cepeda-Mendoza
KQG-9721,4299499027640,Mayte Cepeda-Mendoza,2019-03-15,2081684608465,Serafina del Acero
YIT-4930,9129931009242,Aránzazu Esparza Monreal,2015-05-31,7699159526805,Tomasa Seco España
FQK-0130,7073769721493,Mariano Marco Valverde,2021-01-31,7118505755409,Chema de Duque
FQK-0130,7118505755409,Chema de Duque,2015-07-23,3064890859091,Luna Garay
MWA-1517,6596111706998,Anselmo Conesa,2018-03-03,2004508747414,Carmen Montalbán-Uría
MWA-1517,2004508747414,Carmen Montalbán-Uría,2019-06-24,1936659534490,Jacobo de Prieto
MWA-1517,1936659534490,Jacobo de Prieto,2024-06-17,5287955489782,Martina Asensio Ramírez
NVX-3854,9206580518258,Itziar Palacios,2022-02-02,5653376614799,Eutimio Marin Corbacho
NVX-3854,5653376614799,Eutimio Marin Corbacho,2015-02-21,2190273916966,Diego Pulido-Vall
NVX-3854,2190273916966,Diego Pulido-Vall,2020-07-02,2766149885328,Celia Zamora
RYI-2967,4255741050726,Román Perez Campillo,2023-05-13,7708593347951,Martin de Manso
RYI-2967,7708593347951,Martin de Manso,2022-03-31,2966437525213,Graciana Larrañaga Blanca
RYI-2967,2966437525213,Graciana Larrañaga Blanca,2021-06-19,1589556792079,Silvia Serna Escribano
NDU-0539,9988044746727,Joel Martín Figueras,2022-06-27,2327206088819,María Manuela Duque Blasco
NDU-0539,2327206088819,María Manuela Duque Blasco,2018-07-09,1322592963029,Dalila Company Amigó
NDU-0539,1322592963029,Dalila Company Amigó,2015-09-07,4373921035174,Che Crespi Albero
KIM-4704,9816493795244,Isidro Recio Canales,2021-11-20,8613562084491,Maximino Soto Menéndez
KIM-4704,8613562084491,Maximino Soto Menéndez,2024-04-07,5874574121166,Blanca Plana
KIM-4704,5874574121166,Blanca Plana,2017-02-25,2731073469380,Isabela Mariana Galvez Cazorla
SUU-0891,6206638176281,Hugo Garcia Fajardo,2020-09-14,9562609623380,Armando Iriarte Fuentes
SUU-0891,9562609623380,Armando Iriarte Fuentes,2020-11-21,4662377086356,Consuela de Alberto
OEM-8513,8449017556697,Carmela Guijarro Casado,2018-11-06,7365391722989,Efraín Benavides Bautista
OEM-8513,7365391722989,Efraín Benavides Bautista,2022-11-08,5681179855667,Rosa Catalán Quiroga
PVM-9515,8125943177451,Apolonia del Madrigal,2019-07-04,1183427102396,Caridad Esparza-Portillo
PVM-9515,1183427102396,Caridad Esparza-Portillo,2021-07-14,1513944587818,Maite Canals Francisco
PSL-4039,1931272499568,Guiomar Ernesto Bilbao Macias,2016-08-02,6011411343960,Epifanio Robles Martin
PSL-4039,6011411343960,Epifanio Robles Martin,2016-12-03,1794070337876,Graciana Soria Rivera
AKT-1377,9306386547713,Silvestre Chico-Menendez,2018-11-01,4751418630759,Plácido Vidal Ramis
OKR-2092,6271150867644,Manuelita Duque-Tudela,2017-11-01,6930506069712,Eloísa Porras Guardia
CWL-3889,7281286991983,Manolo Perez Castillo,2019-08-29,4952946364755,Emilia Marqués Leal
CWL-3889,4952946364755,Emilia Marqués Leal,2018-06-30,4240584335142,Fidel Saldaña-Barco
CWL-3889,4240584335142,Fidel Saldaña-Barco,2022-05-05,5097218626494,Gema Castell Alcalá
ZJL-5087,9811462921180,Prudencia Camacho-Catalá,2017-06-19,5139883838917,Norberto Alfaro
ZJL-5087,5139883838917,Norberto Alfaro,2015-09-29,8173956891041,Georgina Tomé
TKL-3342,3557248382960,Atilio Aparicio-Sans,2018-11-26,4267563181135,Ana Castro Medina
TKL-3342,4267563181135,Ana Castro Medina,2016-10-31,8647384958134,Toni de Goñi
NHA-0931,6655394655177,Evangelina Querol Suarez,2017-06-22,8825907008037,Gilberto Gisbert Francisco
NHA-0931,8825907008037,Gilberto Gisbert Francisco,2021-07-27,4367972640542,Néstor Roberto Yuste Aguilera
NHA-0931,4367972640542,Néstor Roberto Yuste Aguilera,2017-08-11,2824323803617,Hortensia Coronado Acosta
XNA-9460,1926266559391,Lucía Ascensión Garmendia Pedro,2015-02-14,6759877328033,Clímaco Guerrero Nicolás
