Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
XEL-3068,8457501829250,Loreto Portillo Alcalde,2024-06-29,3708816422508,Sosimo Villegas Daza
XEL-3068,3708816422508,Sosimo Villegas Daza,2016-10-05,3636857481586,Áurea Gibert Crespi
XEL-3068,3636857481586,Áurea Gibert Crespi,2016-04-30,2209985882778,Fernando Olivares-Páez
UJP-9190,8631877620355,Víctor Bernal Catalá,2019-02-07,7763064184801,Jose Antonio Chamorro Sanjuan
UJP-9190,7763064184801,Jose Antonio Chamorro Sanjuan,2015-02-04,7808648071023,Merche Beltran Ribes
UJP-9190,7808648071023,Merche Beltran Ribes,2019-03-16,1019876217997,Jimena Ávila Porta
FJF-6030,8518457548281,Victoria Araujo Olivé,2017-12-13,9103413740429,Milagros Gloria Villena Torrents
FJF-6030,9103413740429,Milagros Gloria Villena Torrents,2015-10-28,5107265672221,Abigaíl Gibert-Marqués
XZT-6371,2532744355090,Ruben Isaac Tovar Nogués,2018-03-11,4839716543554,Berta Urrutia Rios
GQF-2256,5492666741507,Darío Suarez Sáez,2020-08-21,4624777382774,Morena Gallart Montes
GQF-2256,4624777382774,Morena Gallart Montes,2024-09-02,8906601871964,Cristian Boada Fernandez
CPB-1193,4485902085752,Javier Alemany Belda,2018-12-27,6860107020728,Mirta Vergara Montalbán
CPB-1193,6860107020728,Mirta Vergara Montalbán,2022-10-01,8273889465776,Javier Cabezas Castells
CPB-1193,8273889465776,Javier Cabezas Castells,2021-06-15,2852705534860,Sancho de Valderrama
QCP-2667,8690831412015,Obdulia Ojeda Angulo,2021-10-09,2236962959697,Gustavo Carranza
QCP-2667,2236962959697,Gustavo Carranza,2020-04-24,8838190164420,Fidel Pozo
QCP-2667,8838190164420,Fidel Pozo,2018-01-24,5621087939806,Valentín Torrecilla
EXN-0959,3272907262713,Débora Llopis,2020-01-21,4357495909803,Amor Ureña Ferrán
EXN-0959,4357495909803,Amor Ureña Ferrán,2020-09-21,8786245481894,Remedios Cuadrado
EXN-0959,8786245481894,Remedios Cuadrado,2020-10-22,2494623730453,Jesús Giménez Sevillano
YHS-0630,4735754227467,Sergio Salamanca Badía,2019-08-22,6840082422153,Luís Olmedo Fortuny
YHS-0630,6840082422153,Luís Olmedo Fortuny,2018-09-10,3342352947246,Ester Girona-Pereira
YHS-0630,3342352947246,Ester Girona-Pereira,2024-04-29,8256654484829,Teodoro Niño Borrell
GIO-5265,9088798826378,Gisela Valverde Infante,2019-05-03,5368393379406,Jacinta Ros Lluch
CVB-6316,2690407299646,Albert Coll Alfonso,2023-05-07,8369936994760,Victoria Carrera-Carrillo
CVB-6316,8369936994760,Victoria Carrera-Carrillo,2024-10-29,5554451225225,Sebastian Narváez Llobet
ARI-4584,2622091628104,Adoración Lorenza Garcia Morillo,2024-07-08,8073664834940,Jose Antonio Saldaña Sanjuan
ARI-4584,8073664834940,Jose Antonio Saldaña Sanjuan,2020-02-02,2262533988660,Epifanio Pedraza
RLN-1758,1202293858870,Gonzalo Tejedor Leiva,2020-06-13,3285075037277,Áurea Petrona Campillo Barriga
RLN-1758,3285075037277,Áurea Petrona Campillo Barriga,2016-12-07,6367032746043,Roxana Isa Flores Arnau
RLN-1758,6367032746043,Roxana Isa Flores Arnau,2015-11-25,5036919241629,Aurelio Ramirez Diaz
KNW-0832,9506647380958,Eleuterio Vidal,2016-05-02,5097700609803,Lucía Perelló-Samper
KNW-0832,5097700609803,Lucía Perelló-Samper,2015-08-29,9712031845596,Guadalupe del Prat
KNW-0832,9712031845596,Guadalupe del Prat,2024-01-12,5440947603859,Octavio Ávila-Agustín
YWS-4707,6081813281566,Eli Giner Manjón,2015-10-28,5364180451269,Noemí Marti
YWS-4707,5364180451269,Noemí Marti,2021-06-17,9169118666642,Coral Ángela Carro Coll
TGC-1857,8460742526116,Marc del Atienza,2017-08-26,9279167043218,Olegario Antonio Saez Bolaños
ZDV-9782,9961384247801,Marisela Carvajal Alegria,2022-01-24,9680599029801,Viviana Guijarro Elías
ZDV-9782,9680599029801,Viviana Guijarro Elías,2024-07-19,3442241379576,Susanita María Del Carmen Mayol Tena
OXP-9405,1962833081836,Bernabé Artigas Moll,2018-05-02,2913688197379,Fabricio Tapia Esparza
OXP-9405,2913688197379,Fabricio Tapia Esparza,2020-07-19,5718294513365,Hernando Gimenez Segura
OXP-9405,5718294513365,Hernando Gimenez Segura,2022-10-11,9785134092092,Blanca Sarabia Roda
OOK-9650,7525287545946,Juliana del Pedrero,2018-08-01,6046350237826,Delfina Candelaria Escribano Valverde
YBB-9977,9130744647656,Vilma Sanjuan,2017-12-28,5079938972867,Sancho Calatayud Gisbert
YBB-9977,5079938972867,Sancho Calatayud Gisbert,2016-08-01,6716728922871,Clímaco del Manuel
IEP-1859,5536335012971,Isa de Ricart,2022-11-20,9769167763324,Adelia Villanueva-Agudo
IEP-1859,9769167763324,Adelia Villanueva-Agudo,2021-05-07,7208616157616,Feliciano Alemany Gonzalo
KGV-2029,3834657434120,Caridad Frutos-Huertas,2020-10-28,4775577228454,Chuy Tenorio Giménez
KGV-2029,4775577228454,Chuy Tenorio Giménez,2016-05-17,1778765833219,Jacinta del Torrent
THC-4567,9791712807627,Feliciana del Galán,2020-06-27,5706200702234,Mohamed Lucas-Ropero
THC-4567,5706200702234,Mohamed Lucas-Ropero,2018-12-17,2441763460910,Lalo Fuentes Trujillo
ZTI-1166,5570758578066,Maricela Noguera-Quero,2024-12-18,9991996411611,Carla Requena-Ramis
ZTI-1166,9991996411611,Carla Requena-Ramis,2024-08-12,1525628786031,Emigdio Caparrós Barco
IGI-3820,9483124914040,Vilma Valero Fortuny,2021-06-12,9207072123722,Jesús Rueda Requena
HDQ-9313,1359048440769,Edmundo Batalla Haro,2021-05-16,5425504158320,Jose Manuel de Carretero
HDQ-9313,5425504158320,Jose Manuel de Carretero,2021-11-05,1981760067089,Pili Rocha Escribano
DIE-3272,5212466715673,Pilar Guillén Arnau,2021-12-05,8377321262921,Ximena Hernández Portero
DIE-3272,8377321262921,Ximena Hernández Portero,2018-02-21,5051415311811,África Daza Real
PXK-5514,5707246236720,Cipriano Amor Durán,2023-10-20,9314384475897,Ibán Gómez Puerta
PXK-5514,9314384475897,Ibán Gómez Puerta,2022-09-15,3738907617584,Baudelio Pallarès Vázquez
XNV-2273,3905928343556,Águeda Montaña,2022-01-22,4831782982041,Anselma del Peiró
XNV-2273,4831782982041,Anselma del Peiró,2018-11-11,1365099219403,Amada Tejedor
XNV-2273,1365099219403,Amada Tejedor,2018-11-25,5077728404519,Candela Pujol
HRH-2894,5850816099230,Adelia María Carmen Casares Rozas,2024-07-04,9938814980047,Domitila Salinas Saavedra
HRH-2894,9938814980047,Domitila Salinas Saavedra,2024-07-06,2301668052885,María Manuela Méndez Bonet
HRH-2894,2301668052885,María Manuela Méndez Bonet,2019-02-22,1869246455988,Olga Madrid Prada
QLR-6277,4969537119218,Ana Tenorio Borrás,2024-02-18,6360520002189,Úrsula Ángel Lozano
QLR-6277,6360520002189,Úrsula Ángel Lozano,2016-07-22,1697655446434,Emilia Arévalo
QLR-6277,1697655446434,Emilia Arévalo,2019-02-09,7026582226257,Paola Palomares Moya
PSM-8569,4880155167141,Rafa Azorin Nebot,2018-04-29,4898021945825,Maxi Molina Antón
PSM-8569,4898021945825,Maxi Molina Antón,2015-07-03,2865889975028,Graciana Abella Lobo
PSM-8569,2865889975028,Graciana Abella Lobo,2018-09-19,6816722876964,Flora Lobato Luque
CCY-3840,2890445818995,Zaira Bárbara Sosa Soriano,2018-05-30,1277639438997,Estefanía Juliá Urrutia
CCY-3840,1277639438997,Estefanía Juliá Urrutia,2017-03-30,3701944155410,Laura Blázquez-Montesinos
HYV-6661,6397819597268,Hipólito Fuente Pons,2023-03-10,1702114362545,Natalio del Figueroa
HYV-6661,1702114362545,Natalio del Figueroa,2016-01-27,1955152486295,Felipa del Avilés
HYV-6661,1955152486295,Felipa del Avilés,2022-07-10,5793542755494,Tadeo Bastida Solera
JEZ-3283,6007919085151,Emiliano Galan-Rincón,2019-04-20,2046127594504,Mayte de Vendrell
JEZ-3283,2046127594504,Mayte de Vendrell,2023-04-20,4951397063142,Cristian Palau Torre
JEZ-3283,4951397063142,Cristian Palau Torre,2021-06-09,1991380901404,Joaquín Cantón Ramón
