Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
BSG-4943,1627666951814,José María Osuna-Sáenz,2022-01-22,2953009205074,Carmela Porcel
BSG-4943,2953009205074,Carmela Porcel,2021-02-20,6927707342372,Esteban Saura
LWC-7646,9129808623174,Gerardo Pellicer-Casado,2021-12-01,2177108872628,Pilar Fernández Contreras
LWC-7646,2177108872628,Pilar Fernández Contreras,2017-04-05,7254849925090,Remigio Arnaiz Hervás
LWC-7646,7254849925090,Remigio Arnaiz Hervás,2019-11-14,5078403694620,Ciríaco del Casares
IVA-6071,2057198195155,Clemente del Gámez,2020-09-01,3778238651758,María Carmen Delgado Costa
EWC-6400,4025816205546,Pastor Camacho Giner,2023-08-01,6192146819752,Jose Ramón Ferrer Pereira
ITE-0097,7183793689157,Claudio de Godoy,2022-10-22,6278290589048,Nicolás Rosario Prado Pombo
ITE-0097,6278290589048,Nicolás Rosario Prado Pombo,2023-06-18,9118362023220,Salud Mascaró Rodrigo
ITE-0097,9118362023220,Salud Mascaró Rodrigo,2017-02-27,8595169290483,Pepito Melero Ariño
OID-0290,6440660969071,Nydia Cerdá Jaume,2022-11-19,9955215239698,Florina Villanueva-Terrón
OID-0290,9955215239698,Florina Villanueva-Terrón,2022-06-11,2201670902887,Guillermo Peñalver Santos
OID-0290,2201670902887,Guillermo Peñalver Santos,2021-06-01,4851980155178,Petrona del Ballester
JMK-4045,4803090377967,Gerardo Lucena Llorente,2017-11-05,4730563949487,Oriana Blanca Landa Noguera
JMK-4045,4730563949487,Oriana Blanca Landa Noguera,2018-06-11,1491576035973,Mariano del Ocaña
ADC-8351,6503536297556,Otilia Grau Cadenas,2016-07-04,2325917061994,Felipe Iker Abellán Gimenez
QZZ-4613,2177150054392,Sarita Pla Jódar,2019-07-07,3868421054491,Zaida de Ripoll
QZZ-4613,3868421054491,Zaida de Ripoll,2024-01-24,2445581814924,Édgar Almansa Arteaga
HBE-9401,1497158896681,Silvestre Anglada-Lamas,2024-04-26,1861760163638,Jose Carlos Arcos
HBE-9401,1861760163638,Jose Carlos Arcos,2018-01-01,7551805485246,Cebrián Manzano Ferrándiz
XZQ-3233,8334486085708,Rosalía Iglesias Estrada,2015-12-12,4394272044954,Yésica Zaragoza
XZQ-3233,4394272044954,Yésica Zaragoza,2019-12-22,3614345851084,Gisela Ochoa
XZQ-3233,3614345851084,Gisela Ochoa,2018-11-28,4031570882151,Leocadia Melero
RRA-0120,1854759253746,Bibiana Saez Aliaga,2015-12-13,8729579364683,Guiomar Alcalde Andreu
RRA-0120,8729579364683,Guiomar Alcalde Andreu,2016-06-21,2395215854400,René Arias-Peñas
BYV-5199,4268749484671,Alex de Grau,2022-10-29,1372237019560,Matías César Rebollo Luna
TKR-1533,5599243287318,Donato de Sandoval,2019-06-21,7290817040832,Francisco Javier del Ferrer
TKR-1533,7290817040832,Francisco Javier del Ferrer,2024-09-30,3731447435007,Sandra Clara Dávila Abellán
TKR-1533,3731447435007,Sandra Clara Dávila Abellán,2018-11-17,3909362584168,Fito Blasco Carvajal
ZWM-1385,3576809597202,Isidro Ibán Asenjo Font,2023-03-14,5917181824458,Teodosio Barrio Sacristán
ZWM-1385,5917181824458,Teodosio Barrio Sacristán,2016-12-01,3820613781386,Miguel Esteban Villanueva
VUI-7181,2690207705684,Julie Gimenez Ferreras,2024-09-21,1084489616087,Zoraida Pereira Tomé
XFV-0500,4383559409250,Guiomar Sastre Torrents,2018-11-28,2853688583581,Leire del Sáenz
