Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
NCQ-8470,9463375331081,Luisa del Jordán,2017-07-18,9085411496067,Ángela Campo
NCQ-8470,9085411496067,Ángela Campo,2019-07-04,7761009375404,Magdalena Ariño Cervantes
ZTE-8313,8154964541208,Milagros Paredes Carreño,2023-03-04,9214843587397,Gregorio Gonzalez Medina
ZTE-8313,9214843587397,Gregorio Gonzalez Medina,2022-12-04,1411271169241,Atilio de Vázquez
ZTE-8313,1411271169241,Atilio de Vázquez,2016-03-01,6381260294196,Ángela Palacios Castejón
VIN-4503,8819529343783,Jafet del Amigó,2023-07-21,6600375642414,Reyes Viña Diego
XUF-1515,6304752767018,Florencio Corral Garrido,2015-04-18,4948472721374,Nayara Iniesta Blanca
XUF-1515,4948472721374,Nayara Iniesta Blanca,2019-09-19,8350505674865,Juan Manuel Jaume Colom
XUF-1515,8350505674865,Juan Manuel Jaume Colom,2017-08-18,5862400442521,José Mesa Roura
CTO-9879,5181835597349,Antonia Arana Ballesteros,2015-02-07,2759210285377,Andrés Felipe Roselló Iglesias
CTO-9879,2759210285377,Andrés Felipe Roselló Iglesias,2020-06-20,7790761885589,Aníbal Bilbao Expósito
CTO-9879,7790761885589,Aníbal Bilbao Expósito,2022-02-28,1432658081914,Abilio Bautista Méndez
MTD-9565,8553522005473,Lisandro Recio Piña,2016-09-03,7957795399373,Ascensión Cárdenas Zabaleta
KHM-1250,4636287976487,Samu Rius Cabeza,2018-04-27,1582498523910,Tiburcio de Cantón
KHM-1250,1582498523910,Tiburcio de Cantón,2024-08-17,9795393215104,Jose Luis Coll Vall
KHM-1250,9795393215104,Jose Luis Coll Vall,2022-10-25,5278117198724,Emigdio Carreras Coll
DEN-1193,8231013312111,Felipa Azeneth Galiano Rubio,2021-08-27,3547314763831,Isaías Echevarría-Sevilla
DEN-1193,3547314763831,Isaías Echevarría-Sevilla,2022-08-28,8747667129125,Griselda Uriarte Flor
DEN-1193,8747667129125,Griselda Uriarte Flor,2016-04-13,2297216661458,Luciana Belmonte Collado
LEV-4418,6715051133646,Cayetana Vall,2017-04-22,2595718591932,Dafne Montserrat Mate Puig
LEV-4418,2595718591932,Dafne Montserrat Mate Puig,2019-05-20,8510346577972,Visitación Díaz
HWM-0588,2882772948195,Lidia Peral-Boada,2023-11-08,3513583212760,Juana Fabiana Campillo Borrell
IXK-5097,2427671491589,Guadalupe Olmo-Bonilla,2022-10-16,1510293425692,Pascual Ballesteros Macias
DIF-0615,8052991583581,Moisés Aragón Ródenas,2015-06-15,2450518012026,Rubén del Ferrera
DIF-0615,2450518012026,Rubén del Ferrera,2022-01-03,6978642090706,Fabiana Susanita Tamarit Medina
DIF-0615,6978642090706,Fabiana Susanita Tamarit Medina,2019-10-20,7022507968847,Asdrubal Sarabia Martín
UNJ-4100,4023434359740,Félix Alcaraz-Rosa,2023-03-11,1684036540228,Gracia Rebollo Sainz
UNJ-4100,1684036540228,Gracia Rebollo Sainz,2024-10-22,6146661734800,Luciano Amores Bosch
OOS-1315,5129380155776,Nacio Carballo Quevedo,2019-02-18,7798752019757,Maximiano Tovar Casanovas
OOS-1315,7798752019757,Maximiano Tovar Casanovas,2016-08-11,3945634162483,Íngrid Cano Avilés
OOS-1315,3945634162483,Íngrid Cano Avilés,2024-03-23,6835202701210,Yago Franco Vera
PYZ-2697,5200136099122,Jose Antonio Torrecilla Galan,2016-09-18,1258025331184,Clotilde Cañizares Gual
PYZ-2697,1258025331184,Clotilde Cañizares Gual,2021-04-15,1028997394009,Dulce Paz Porcel
HMZ-8003,9611259666330,Cándido Ávila Palau,2020-02-06,4309468270828,Ariel Domínguez Aller
HMZ-8003,4309468270828,Ariel Domínguez Aller,2023-07-04,9374975968657,Maristela del Godoy
HMZ-8003,9374975968657,Maristela del Godoy,2017-06-15,9856600764489,Isidoro Dominguez
LQC-7777,7774698345927,Samuel Joel Menendez Saavedra,2022-12-27,3519707630239,Juana Pellicer Berenguer
IXX-2479,3768967998083,Ángela de Villar,2016-12-21,1598901981915,Cándida Julie Bonet Pi
IXX-2479,1598901981915,Cándida Julie Bonet Pi,2021-02-24,1791891407517,Nazaret Alcaraz Benavente
IXX-2479,1791891407517,Nazaret Alcaraz Benavente,2018-09-26,2290919028304,Amada Martín-Valenzuela
VYA-1765,4209821858499,Máximo Palmer,2016-07-19,1198416839686,Joel Cañete-Fernández
VYA-1765,1198416839686,Joel Cañete-Fernández,2017-02-01,1714403334648,Tecla Marianela Sotelo Belmonte
JMR-9777,9121385242371,Hilda Cruz Huertas,2020-03-21,5428195701844,Miguel Galindo Moreno
JMR-9777,5428195701844,Miguel Galindo Moreno,2017-07-01,7206196016094,Nazaret Mora Vizcaíno
PYX-0331,4010087397052,Bautista Uriarte Galván,2017-07-15,6849865718296,Adela Garay
IXO-0734,9967140688812,Esperanza Leon Vendrell,2023-09-12,7185422286480,Silvestre Avilés
IXO-0734,7185422286480,Silvestre Avilés,2023-06-01,6418191018571,Chuy Bou-Recio
ISY-9892,3519965052234,Laura Abella Castellanos,2015-07-23,3423298850090,Teófila Tomás Pol
ISY-9892,3423298850090,Teófila Tomás Pol,2015-03-18,7384189869746,Maite Rivero Becerra
ISY-9892,7384189869746,Maite Rivero Becerra,2020-03-24,1278103204745,Ramiro Huguet Roman
EWA-2781,4800066858771,Sandalio Barberá Arribas,2021-12-13,5005289962589,Ainoa Alsina Montalbán
VDB-9443,4714473220920,Ruperto Amor Lobato,2022-02-02,3166737119396,Pánfilo Morillo-Milla
VDB-9443,3166737119396,Pánfilo Morillo-Milla,2020-04-20,5079875121377,Ramona Noelia Carreras Castrillo
CEF-9531,2481021584707,Chita Feijoo-Gomis,2016-06-04,5739809576424,Albert de Barranco
CEF-9531,5739809576424,Albert de Barranco,2016-03-28,1572019847630,José Arteaga Cáceres
WQK-4545,5920477016770,Luz Salazar Vergara,2022-05-29,9556106544462,Baudelio Agustín Calvo
