Placa,DPI_Anterior,Nombre_Anterior,Fecha,DPI_Nuevo,Nombre_Nuevo
LEX-9162,6426970191373,Maxi Gonzalez Espada,2020-10-13,8901906738788,Fabián Sanmartín Company
RSL-6380,9083437372223,Cesar Villalobos Piña,2018-04-13,7081515615592,Silvestre Duque Robledo
ZLA-2291,9105227887115,Santiago Yuste Gil,2020-11-26,6999507384970,Jose Carlos Mosquera Robledo
ZLA-2291,6999507384970,Jose Carlos Mosquera Robledo,2016-01-26,9242775961404,Valentina Atienza Luz
ZLA-2291,9242775961404,Valentina Atienza Luz,2018-02-17,6734624086440,Julieta Vicens Guillén
YKB-3709,1571054762987,Hernán Millán Cantero,2022-09-26,1449397065575,Noemí Gárate Soriano
YKB-3709,1449397065575,Noemí Gárate Soriano,2018-09-29,8995024270380,Adelina Roldán Durán
EIP-4496,3188554233716,Jenny Gabaldón Montes,2022-03-25,9231969623587,Francisco Jose Rosado Garcia
YUU-2131,6323861983992,Anna Paula Angulo Noriega,2021-05-22,2184931138981,Luna Moraleda Rosell
YUU-2131,2184931138981,Luna Moraleda Rosell,2018-11-07,3896636711740,Vera Benito Soria
YUU-2131,3896636711740,Vera Benito Soria,2024-03-04,1344252344528,Purificación Hervás Saez
BEU-4171,2531880140822,Pablo Cano,2016-08-28,8468560286225,Gracia del Vilalta
ZKT-5356,4475536122071,Alondra Torrecilla Somoza,2019-11-20,8160921590614,Juan José Donoso Carballo
ZKT-5356,8160921590614,Juan José Donoso Carballo,2022-06-06,1932349518160,Severino Escribano Duque
VCX-9923,7353954398011,Gerónimo Contreras Pi,2022-07-09,1633552188306,Jose Miguel Moreno Guillen Oliver
VCX-9923,1633552188306,Jose Miguel Moreno Guillen Oliver,2017-04-13,5601327561480,Teodoro Lucho Uría Mur
OIO-7528,4237779442354,Narcisa Antón-Saavedra,2024-12-25,6614498321188,Sebastián Gomis
OIO-7528,6614498321188,Sebastián Gomis,2017-11-05,7336663832720,Nadia Ledesma Expósito
IWN-4616,7787021280427,Aroa Canales Palmer,2020-01-28,9827236035014,Narciso Segura Torrens
IWN-4616,9827236035014,Narciso Segura Torrens,2023-11-25,9396573502551,Nadia Mesa
IWN-4616,9396573502551,Nadia Mesa,2020-10-11,1841284270768,Toño Torrens Cases
JFU-7914,2720216188547,Félix Llanos Moll,2024-02-23,1452934979121,Yésica Infante Torralba
GON-9054,7612522106984,Matilde del Lara,2022-03-20,5841359743607,Alfredo Montero Boada
PKH-2114,7405415067541,Fabricio Tudela-Tejera,2024-12-16,3457599088227,Yago Feijoo Saldaña
PKH-2114,3457599088227,Yago Feijoo Saldaña,2021-11-13,7597524711447,Demetrio Pina Núñez
PKH-2114,7597524711447,Demetrio Pina Núñez,2023-02-23,4942916368971,Cándido Ripoll Plaza
BWR-5678,2958182727869,Octavio Jover Vila,2017-03-24,8881592547562,Candelas Gordillo Palomares
NPZ-0666,4591645857589,Pascual Donaire Montesinos,2022-10-09,1119454104873,Gilberto Peiró Guerra
NPZ-0666,1119454104873,Gilberto Peiró Guerra,2023-07-11,4365333273713,Rocío del Salinas
APP-0094,6959292425108,Patricio Barrio Calderon,2017-05-01,4708870331205,Nazaret Almansa-Marti
APP-0094,4708870331205,Nazaret Almansa-Marti,2017-03-17,6284484576930,Selena Marin Carreras
APP-0094,6284484576930,Selena Marin Carreras,2019-11-12,2184287179078,Zoraida Carrión Figueroa
DQS-7226,8151028270669,Andrés Solís Galvez,2017-11-14,2526786019457,Amada Tenorio-Prats
DQS-7226,2526786019457,Amada Tenorio-Prats,2021-08-03,5922892401309,Ágata del Aguilar
FWS-0041,8885912955060,Rosa María Vall Martínez,2021-02-26,6492790742341,Florencio Ibarra Díaz
NAV-0140,3065774846128,Atilio Bartolomé Manzano,2021-12-03,5311242287861,Cintia Duque Porta
DRQ-7410,2720756359317,Virginia Corona Rosell Batlle,2023-07-31,1263993924780,Gonzalo Ferrer
DRQ-7410,1263993924780,Gonzalo Ferrer,2018-02-20,5443397214418,Santiago Tejedor Gomila
YRB-3614,6549422930434,Nereida Alegre Iglesias,2016-03-30,7690140870472,Fátima Pereira
YRB-3614,7690140870472,Fátima Pereira,2020-09-25,8002257979290,Felipe Calderon Lozano
ZEB-3696,1178094250384,Tomasa Andrés Lobato,2015-05-13,9895835631812,Ema Urrutia Checa
ZEB-3696,9895835631812,Ema Urrutia Checa,2019-08-06,1406487113291,Ramón Merino Amorós
ZEB-3696,1406487113291,Ramón Merino Amorós,2022-08-10,7328152236767,Dolores Antón Cervera
TQY-5795,8768742492399,Bernardino Domingo-Águila,2016-04-13,3345635820073,Héctor Cañete Mulet
TQY-5795,3345635820073,Héctor Cañete Mulet,2019-03-09,2943085255270,Ani Folch Pont
UUA-1336,9893988810218,Haroldo Heredia Rodríguez,2024-04-04,6416750195692,Isabel Aramburu Talavera
UUA-1336,6416750195692,Isabel Aramburu Talavera,2024-09-16,5242167227224,Rosario Rocha Vicens
UUA-1336,5242167227224,Rosario Rocha Vicens,2017-12-17,8286911027799,Salomón Ferrero Roura
RHS-9124,3027889327017,Fabio de Ortuño,2022-04-21,8954139723731,Marc Folch Escolano
RHS-9124,8954139723731,Marc Folch Escolano,2022-07-31,9419655062373,Jonatan Cantero Valenzuela
CYL-3540,5543224605413,Etelvina Ana Sofía Carlos Pereira,2019-11-29,6215848755509,Yaiza Tormo Ferrera
CYL-3540,6215848755509,Yaiza Tormo Ferrera,2018-12-02,4513814382915,Elena Jimena Casado Bru
CYL-3540,4513814382915,Elena Jimena Casado Bru,2016-03-17,7355295750871,Carmelo Quintanilla Arenas
XHJ-5288,2955454608291,Viviana Ángela Rosa Pazos,2019-10-13,1883257571594,Gaspar de Peralta
XHJ-5288,1883257571594,Gaspar de Peralta,2018-11-13,4259602071340,Artemio Company Naranjo
XHJ-5288,4259602071340,Artemio Company Naranjo,2019-11-22,4099170161585,Felipa Gabaldón-Álvaro
DOO-8692,6141486282725,Aníbal Santiago Arana Barrena,2015-02-21,8956076388744,Valerio Corbacho
DOO-8692,8956076388744,Valerio Corbacho,2023-02-08,6689725726785,Herminia Quintanilla Saldaña
CAH-7316,6759753186594,Nilo Martínez Pont,2018-02-04,3708160501938,Julia Requena-Arenas
